# time,x,y,error
1.662388476374000000e+12,2.979256194785880041e+01,1.919782082264209677e+01,nan
1.662388476964000000e+12,2.939533846465140599e+01,1.884546188991940596e+01,1.351386542889496223e+00
1.662388477544000000e+12,2.893846052143502945e+01,1.851917440545127036e+01,nan
1.662388478124000000e+12,2.845534236628973446e+01,1.816340042222339690e+01,nan
1.662388478654000000e+12,2.788411829769124850e+01,1.777608066308632573e+01,nan
1.662388479204000000e+12,2.729686756697767436e+01,1.738122729389581522e+01,nan
1.662388479744000000e+12,2.667438733896700498e+01,1.705735832730657364e+01,2.973687725337102794e+00
1.662388480314000000e+12,2.608046904702791835e+01,1.674559284202753773e+01,3.355987168525152331e+00
1.662388480814000000e+12,2.553269626073081611e+01,1.646224397098139391e+01,3.626156457732658822e+00
1.662388481414000000e+12,2.499654549243569335e+01,1.615421999302940392e+01,4.064729667355498677e+00
1.662388481934000000e+12,2.448845159520089965e+01,1.591758107478143280e+01,4.368850610090342812e+00
1.662388482504000000e+12,2.395010245421683592e+01,1.562015129811748260e+01,4.784919206408307701e+00
1.662388483024000000e+12,2.337945513622264215e+01,1.532399648896630495e+01,5.087793093201203654e+00
1.662388483564000000e+12,2.281893351763271482e+01,1.507528746231336747e+01,nan
1.662388484094000000e+12,2.218944242784050402e+01,1.486227645729193902e+01,nan
1.662388484674000000e+12,2.157447441862909443e+01,1.463182315134165101e+01,5.958031826827895117e+00
1.662388485184000000e+12,2.093443704982968612e+01,1.445913785559942433e+01,nan
1.662388485764000000e+12,2.030930321561381646e+01,1.423841176479206894e+01,6.395956326082880672e+00
1.662388486294000000e+12,1.969315870505775479e+01,1.401680760165992368e+01,6.540106185161455699e+00
1.662388486874000000e+12,1.933745530048805605e+01,1.352844563867237326e+01,7.031496107900431447e+00
1.662388487414000000e+12,1.917191466543415146e+01,1.290651880070933366e+01,7.288336294584210506e+00
1.662388487964000000e+12,1.925144311485627213e+01,1.233300580618213438e+01,7.547097151203592702e+00
1.662388488544000000e+12,1.930271524419958595e+01,1.171609677483104406e+01,nan
1.662388489114000000e+12,1.939737332621171362e+01,1.104685667893138756e+01,7.529184675884643241e+00
1.662388489634000000e+12,1.939841153499373760e+01,1.042597731681946094e+01,7.426064904664752220e+00
1.662388490194000000e+12,1.945553797797863638e+01,9.790336052334399852e+00,7.426924337163177015e+00
